Z,B,Bx,By,Bz

1.800000e-01,1.248667e+03,-8.033333e+01,-1.086667e+02,1.241333e+03
2.300000e-01,1.210867e+03,-8.166667e+01,-111,1203
2.800000e-01,1.168936e+03,-83,-1.146667e+02,1.160333e+03
3.300000e-01,1.125159e+03,-85,-1.153333e+02,1116
3.800000e-01,1.078943e+03,-90,-112,1.069333e+03
4.300000e-01,1.033794e+03,-8.966667e+01,-119,1.023000e+03
4.800000e-01,9.916496e+02,-8.533333e+01,-1.143333e+02,9.813333e+02
5.300000e-01,9.392263e+02,-81,-112,929
5.800000e-01,8.928264e+02,-8.033333e+01,-1.103333e+02,8.823333e+02
6.300000e-01,8.470155e+02,-7.866667e+01,-1.033333e+02,837
6.800000e-01,8.034485e+02,-7.566667e+01,-1.046667e+02,793
7.300000e-01,7.597869e+02,-71,-9.866667e+01,750
7.800000e-01,7.179791e+02,-6.833333e+01,-9.533333e+01,7.083333e+02
8.300000e-01,6.828096e+02,-6.466667e+01,-9.066667e+01,6.736667e+02
8.800000e-01,6.394395e+02,-6.533333e+01,-8.033333e+01,631
9.300000e-01,6.039520e+02,-62,-83,595
9.800000e-01,5.742309e+02,-57,-7.833333e+01,566
1.030000e+00,5.356820e+02,-5.133333e+01,-72,5.283333e+02
1.080000e+00,5.049592e+02,-49,-6.766667e+01,498
1.130000e+00,4.811662e+02,-4.866667e+01,-62,4.746667e+02
1.180000e+00,4.487481e+02,-4.466667e+01,-61,4.423333e+02
1.230000e+00,4.230710e+02,-4.166667e+01,-58,417
1.280000e+00,4.010810e+02,-3.833333e+01,-5.333333e+01,3.956667e+02
1.330000e+00,3.754047e+02,-3.533333e+01,-5.033333e+01,3.703333e+02
1.380000e+00,3.536079e+02,-3.566667e+01,-4.433333e+01,349
1.430000e+00,3.346733e+02,-3.333333e+01,-4.466667e+01,330
1.480000e+00,3.170387e+02,-31,-4.233333e+01,3.126667e+02
1.530000e+00,2.978943e+02,-28,-39,294
1.580000e+00,2.816850e+02,-2.633333e+01,-37,278
1.630000e+00,2.659233e+02,-26,-3.233333e+01,2.626667e+02
1.680000e+00,2.516007e+02,-2.333333e+01,-33,2.483333e+02
1.730000e+00,2.392976e+02,-2.166667e+01,-3.066667e+01,2.363333e+02
1.780000e+00,2.250220e+02,-20,-2.833333e+01,2.223333e+02
1.830000e+00,2.135673e+02,-19,-27,211
1.880000e+00,2.023688e+02,-19,-2.433333e+01,200
1.930000e+00,1.912747e+02,-17,-24,189
1.980000e+00,1.824262e+02,-1.566667e+01,-2.266667e+01,1.803333e+02
2.030000e+00,1.725862e+02,-1.566667e+01,-2.033333e+01,1.706667e+02
2.080000e+00,1.642285e+02,-1.433333e+01,-2.033333e+01,1.623333e+02
2.130000e+00,1.566390e+02,-1.366667e+01,-18,155
2.180000e+00,1.486969e+02,-1.333333e+01,-18,147
2.230000e+00,1.415784e+02,-12,-1.733333e+01,140
2.280000e+00,1.343705e+02,-11,-1.566667e+01,133
2.330000e+00,1.284065e+02,-1.066667e+01,-1.566667e+01,127
2.380000e+00,1.218770e+02,-1.033333e+01,-1.366667e+01,1.206667e+02
2.430000e+00,1.169112e+02,-9.666667e+00,-14,1.156667e+02
2.480000e+00,1.116089e+02,-9.333333e+00,-14,1.103333e+02
2.530000e+00,1.073447e+02,-8,-1.233333e+01,1.063333e+02
2.580000e+00,1.019744e+02,-7.333333e+00,-12,101
2.630000e+00,9.694443e+01,-7.333333e+00,-1.133333e+01,96
2.680000e+00,9.290617e+01,-7.333333e+00,-1.066667e+01,92
2.730000e+00,8.884256e+01,-7,-10,88
2.780000e+00,8.513584e+01,-6,-10,8.433333e+01
2.830000e+00,8.177136e+01,-5.666667e+00,-9.666667e+00,81
2.880000e+00,7.765665e+01,-5.666667e+00,-8.333333e+00,77
2.930000e+00,7.478636e+01,-6,-9,74
2.980000e+00,7.232258e+01,-5,-8.333333e+00,7.166667e+01
3.030000e+00,6.931170e+01,-5,-8,6.866667e+01
3.080000e+00,6.664666e+01,-4.666667e+00,-8,66
3.130000e+00,6.388966e+01,-4.666667e+00,-7,6.333333e+01
3.180000e+00,6.121002e+01,-4.666667e+00,-6.666667e+00,6.066667e+01
