Z,B,Bx,By,Bz
1.800000e-01,2.716381e+03,-1.393333e+02,-2.699667e+03,2.666667e+02
2.000000e-01,2.695721e+03,-142,-2680,2.536667e+02
2.200000e-01,2.643980e+03,-143,-2.630333e+03,227
2.400000e-01,2.602435e+03,-1.416667e+02,-2.589667e+03,215
2.600000e-01,2.563391e+03,-1.393333e+02,-2551,2.096667e+02
2.800000e-01,2.525312e+03,-137,-2513,208
3.000000e-01,2.500935e+03,-135,-2.488667e+03,2.073333e+02
3.200000e-01,2.463373e+03,-133,-2.451333e+03,2.036667e+02
3.400000e-01,2.426861e+03,-131,-2415,2.006667e+02
3.600000e-01,2.390658e+03,-129,-2.379333e+03,1.933333e+02
3.800000e-01,2.355689e+03,-1.263333e+02,-2.344667e+03,1.893333e+02
4.000000e-01,2.311708e+03,-1.253333e+02,-2.300667e+03,1.876667e+02
4.200000e-01,2.279505e+03,-1.233333e+02,-2.268333e+03,1.886667e+02
4.400000e-01,2.246172e+03,-1.216667e+02,-2.235667e+03,1.796667e+02
4.600000e-01,2.212778e+03,-1.196667e+02,-2.203667e+03,161
4.800000e-01,2.179964e+03,-118,-2172,144
5.000000e-01,2.150902e+03,-116,-2.143333e+03,138
5.200000e-01,2.125421e+03,-114,-2118,136
5.400000e-01,2.097305e+03,-112,-2090,1.343333e+02
5.600000e-01,2.071140e+03,-110,-2064,132
5.800000e-01,2.046710e+03,-109,-2.039667e+03,130
6.000000e-01,2.020826e+03,-108,-2.014000e+03,126
6.200000e-01,1.997584e+03,-1.066667e+02,-1991,122
6.400000e-01,1.982653e+03,-1.053333e+02,-1.976333e+03,118
6.600000e-01,1.960731e+03,-1.036667e+02,-1.954667e+03,114
6.800000e-01,1.939704e+03,-1.026667e+02,-1.933667e+03,1.133333e+02
7.000000e-01,1.918354e+03,-1.013333e+02,-1.912667e+03,1.073333e+02
7.200000e-01,1.897908e+03,-1.003333e+02,-1.892667e+03,99
7.400000e-01,1.870651e+03,-9.933333e+01,-1866,8.666667e+01
7.600000e-01,1.851359e+03,-9.833333e+01,-1847,8.033333e+01
7.800000e-01,1.834893e+03,-97,-1.830667e+03,78
8.000000e-01,1.823494e+03,-9.633333e+01,-1.819333e+03,7.666667e+01
