Z,B,Bx,By,Bz
1.800000e-01,1.271780e+03,-85,-1.503333e+02,1260
2.300000e-01,1.244165e+03,-8.966667e+01,-1.566667e+02,1231
2.800000e-01,1.191750e+03,-9.266667e+01,-1.623333e+02,1177
3.300000e-01,1.161078e+03,-9.533333e+01,-1.626667e+02,1.145667e+03
3.800000e-01,1.100748e+03,-1.013333e+02,-160,1.084333e+03
4.300000e-01,1.068059e+03,-1.023333e+02,-1.666667e+02,1050
4.800000e-01,1.009011e+03,-9.666667e+01,-1.633333e+02,991
5.300000e-01,9.591548e+02,-96,-159,941
5.800000e-01,9.200691e+02,-9.266667e+01,-156,902
6.300000e-01,8.660647e+02,-92,-150,848
6.800000e-01,8.251117e+02,-8.666667e+01,-1.466667e+02,8.073333e+02
7.300000e-01,7.776046e+02,-8.533333e+01,-1.406667e+02,760
7.800000e-01,7.349719e+02,-8.033333e+01,-1.313333e+02,7.186667e+02
8.300000e-01,6.934546e+02,-7.866667e+01,-1.243333e+02,6.776667e+02
8.800000e-01,6.588792e+02,-78,-1.153333e+02,644
9.300000e-01,6.170719e+02,-7.333333e+01,-114,602
9.800000e-01,5.844261e+02,-6.666667e+01,-107,5.706667e+02
1.030000e+00,5.589841e+02,-6.333333e+01,-1.016667e+02,546
1.080000e+00,5.159988e+02,-5.833333e+01,-94,504
1.130000e+00,4.919482e+02,-5.733333e+01,-8.766667e+01,4.806667e+02
1.180000e+00,4.583659e+02,-5.366667e+01,-8.433333e+01,4.473333e+02
1.230000e+00,4.338758e+02,-4.833333e+01,-7.833333e+01,424
1.280000e+00,4.065101e+02,-46,-7.433333e+01,397
1.330000e+00,3.834594e+02,-4.233333e+01,-68,375
1.380000e+00,3.646150e+02,-42,-63,3.566667e+02
1.430000e+00,3.408781e+02,-3.933333e+01,-6.133333e+01,333
1.480000e+00,3.258372e+02,-36,-5.766667e+01,3.186667e+02
1.530000e+00,3.037040e+02,-3.333333e+01,-54,297
1.580000e+00,2.870345e+02,-31,-4.966667e+01,281
1.630000e+00,2.739154e+02,-2.966667e+01,-4.633333e+01,2.683333e+02
1.680000e+00,2.563977e+02,-2.833333e+01,-44,251
1.730000e+00,2.463018e+02,-2.566667e+01,-42,2.413333e+02
1.780000e+00,2.297269e+02,-24,-3.966667e+01,225
1.830000e+00,2.188840e+02,-22,-3.666667e+01,2.146667e+02
1.880000e+00,2.059841e+02,-2.166667e+01,-34,202
1.930000e+00,1.951296e+02,-20,-3.266667e+01,1.913333e+02
1.980000e+00,1.855853e+02,-1.833333e+01,-3.133333e+01,182
2.030000e+00,1.761272e+02,-17,-2.833333e+01,173
2.080000e+00,1.672500e+02,-16,-2.666667e+01,1.643333e+02
2.130000e+00,1.588182e+02,-1.566667e+01,-2.533333e+01,156
2.180000e+00,1.512720e+02,-1.433333e+01,-24,1.486667e+02
2.230000e+00,1.458310e+02,-1.333333e+01,-2.333333e+01,1.433333e+02
2.280000e+00,1.362257e+02,-1.266667e+01,-21,134
2.330000e+00,1.307848e+02,-1.166667e+01,-2.033333e+01,1.286667e+02
2.380000e+00,1.253324e+02,-1.166667e+01,-19,1.233333e+02
2.430000e+00,1.183131e+02,-1.133333e+01,-1.833333e+01,1.163333e+02
2.480000e+00,1.131174e+02,-10,-1.733333e+01,1.113333e+02
2.530000e+00,1.089694e+02,-9.333333e+00,-1.633333e+01,1.073333e+02
2.580000e+00,1.031606e+02,-9,-15,1.016667e+02
2.630000e+00,9.908526e+01,-8,-1.466667e+01,9.766667e+01
2.680000e+00,9.448868e+01,-8,-1.466667e+01,93
2.730000e+00,9.039235e+01,-7.333333e+00,-14,89
2.780000e+00,8.761405e+01,-7.333333e+00,-13,8.633333e+01
2.830000e+00,8.321725e+01,-7,-1.233333e+01,82
2.880000e+00,7.935504e+01,-6.333333e+00,-11,7.833333e+01
2.930000e+00,7.702525e+01,-5.333333e+00,-1.133333e+01,76
2.980000e+00,7.469865e+01,-5.666667e+00,-11,7.366667e+01
3.030000e+00,7.027723e+01,-5,-1.033333e+01,6.933333e+01
3.080000e+00,6.820720e+01,-5,-9.666667e+00,6.733333e+01
3.130000e+00,6.484511e+01,-4.666667e+00,-9.333333e+00,64
3.180000e+00,6.178907e+01,-4.666667e+00,-8.666667e+00,61
