Data Point Listing of File C:\Users\Devin\Aug23\1500CCM_cpmg_200.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	usec
-5.000	-11.000	0.000
-145.000	1144.000	2.000
-5345.000	-15230.000	4.000
-2980.000	-8347.000	6.000
-3284.000	-8310.000	8.000
-5250.000	-1298.000	10.000
27964.000	-10391.000	12.000
6898.000	-2097.000	14.000
-13952.000	4792.000	16.000
4886.000	-13484.000	18.000
3687.000	-21919.000	20.000
-12772.000	-23210.000	22.000
1612.000	-18078.000	24.000
-20633.000	-15622.000	26.000
106926.000	-90127.000	28.000
175713.000	-72866.000	30.000
248916.000	-139293.000	32.000
558763.000	-142233.000	34.000
823748.000	42968.000	36.000
1121628.000	242606.000	38.000
1365329.000	659879.000	40.000
1397021.000	997283.000	42.000
1053320.000	1226753.000	44.000
613919.000	1346224.000	46.000
140681.000	1148466.000	48.000
-182287.000	881155.000	50.000
-416727.000	450681.000	52.000
-367915.000	180307.000	54.000
-222990.000	-30172.000	56.000
-66453.000	-28396.000	58.000
6533.000	510.000	60.000
43379.000	35485.000	62.000
7.000	-43.000	64.000
-496.000	-603.000	66.000
-4466.000	-2454.000	68.000
-763.000	1977.000	70.000
7582.000	3200.000	72.000
-11385.000	1535.000	74.000
-1065.000	1168.000	76.000
26642.000	-816.000	78.000
-18526.000	-4342.000	80.000
116.000	-43187.000	82.000
-10694.000	-27800.000	84.000
-15929.000	-45828.000	86.000
-14702.000	-107678.000	88.000
-24022.000	-65629.000	90.000
-186724.000	-221440.000	92.000
-226183.000	-403029.000	94.000
-130616.000	-709381.000	96.000
53944.000	-980974.000	98.000
401035.000	-1111577.000	100.000
1003647.000	-1128191.000	102.000
1444891.000	-854977.000	104.000
1702863.000	-543982.000	106.000
1685940.000	-26329.000	108.000
1472994.000	361595.000	110.000
1065329.000	498691.000	112.000
606761.000	567281.000	114.000
286334.000	544701.000	116.000
31850.000	430366.000	118.000
-45852.000	349629.000	120.000
-100488.000	199278.000	122.000
-36855.000	115792.000	124.000
-64785.000	12314.000	126.000
44.000	-10.000	128.000
-332.000	-79.000	130.000
-4730.000	2818.000	132.000
-7399.000	2451.000	134.000
-11828.000	-6450.000	136.000
-17731.000	10872.000	138.000
-13891.000	53305.000	140.000
-33058.000	32175.000	142.000
28694.000	-26748.000	144.000
24179.000	5601.000	146.000
7149.000	287.000	148.000
25734.000	9652.000	150.000
509.000	-8924.000	152.000
-42541.000	-115306.000	154.000
18732.000	-232081.000	156.000
202253.000	-356008.000	158.000
316958.000	-336614.000	160.000
510102.000	-200465.000	162.000
595240.000	-47706.000	164.000
691540.000	197393.000	166.000
633401.000	415517.000	168.000
483289.000	635093.000	170.000
270173.000	669678.000	172.000
128877.000	637746.000	174.000
-158596.000	487083.000	176.000
-216521.000	409490.000	178.000
-234390.000	304432.000	180.000
-258328.000	119621.000	182.000
-251159.000	57921.000	184.000
-241089.000	-22700.000	186.000
-136319.000	-51588.000	188.000
-91965.000	-26777.000	190.000
-32.000	3.000	192.000
515.000	1006.000	194.000
13177.000	-10232.000	196.000
2652.000	6664.000	198.000
3123.000	9047.000	200.000
21876.000	-2992.000	202.000
12528.000	-3316.000	204.000
-29601.000	3804.000	206.000
-14368.000	4352.000	208.000
8937.000	-29837.000	210.000
-17305.000	-55103.000	212.000
-14582.000	-18253.000	214.000
-26097.000	4771.000	216.000
-127154.000	13397.000	218.000
-181444.000	-1107.000	220.000
-169149.000	-95753.000	222.000
-197335.000	-322379.000	224.000
5791.000	-544722.000	226.000
332470.000	-788718.000	228.000
763998.000	-886969.000	230.000
1164207.000	-697217.000	232.000
1324887.000	-447905.000	234.000
1307254.000	-203574.000	236.000
1169240.000	82939.000	238.000
856812.000	377464.000	240.000
498297.000	403854.000	242.000
242715.000	393407.000	244.000
14277.000	325562.000	246.000
-146036.000	221211.000	248.000
-112574.000	107724.000	250.000
-114754.000	-21498.000	252.000
31374.000	-92523.000	254.000
-27.000	-71.000	256.000
-13.000	451.000	258.000
19223.000	6259.000	260.000
-135.000	10142.000	262.000
-9565.000	8972.000	264.000
-11453.000	7280.000	266.000
-33351.000	17850.000	268.000
-24210.000	8283.000	270.000
-18975.000	-27556.000	272.000
16205.000	1368.000	274.000
7523.000	7034.000	276.000
23811.000	-8142.000	278.000
9223.000	-51957.000	280.000
56675.000	-16399.000	282.000
29515.000	-102079.000	284.000
129688.000	-168135.000	286.000
206604.000	-134726.000	288.000
236694.000	-117587.000	290.000
429647.000	3300.000	292.000
529567.000	118506.000	294.000
553611.000	332824.000	296.000
472653.000	485042.000	298.000
270758.000	490778.000	300.000
131931.000	424915.000	302.000
33315.000	335492.000	304.000
-102677.000	184662.000	306.000
-129284.000	101767.000	308.000
-98050.000	75702.000	310.000
-4276.000	156933.000	312.000
-52380.000	100977.000	314.000
-97829.000	43070.000	316.000
-82486.000	-56257.000	318.000
21.000	-32.000	320.000
-140.000	321.000	322.000
-2469.000	11697.000	324.000
-9970.000	-1535.000	326.000
-10359.000	-11731.000	328.000
26004.000	4893.000	330.000
13219.000	34301.000	332.000
-567.000	-19619.000	334.000
4835.000	-3614.000	336.000
19559.000	16573.000	338.000
19610.000	11108.000	340.000
11383.000	3194.000	342.000
-54720.000	41532.000	344.000
-85296.000	-53653.000	346.000
-125870.000	-3351.000	348.000
-108165.000	-149547.000	350.000
-110352.000	-302987.000	352.000
31385.000	-410314.000	354.000
220166.000	-626737.000	356.000
506308.000	-693036.000	358.000
784928.000	-567494.000	360.000
954180.000	-266868.000	362.000
1028722.000	-59092.000	364.000
880110.000	269987.000	366.000
643404.000	361191.000	368.000
388910.000	414878.000	370.000
234466.000	369353.000	372.000
123219.000	292796.000	374.000
-61858.000	256729.000	376.000
-107518.000	187131.000	378.000
-156962.000	61142.000	380.000
-78978.000	-104390.000	382.000
18.000	12.000	384.000
409.000	-994.000	386.000
-7058.000	-9130.000	388.000
-70.000	5141.000	390.000
2776.000	2575.000	392.000
11242.000	4754.000	394.000
20892.000	-2682.000	396.000
12700.000	8776.000	398.000
-9923.000	12825.000	400.000
-13890.000	-7552.000	402.000
-10463.000	-5049.000	404.000
22363.000	29507.000	406.000
-2586.000	58563.000	408.000
-78853.000	-74143.000	410.000
-27951.000	-128826.000	412.000
51094.000	-163265.000	414.000
124017.000	-139028.000	416.000
327585.000	-39832.000	418.000
413482.000	104756.000	420.000
439946.000	181173.000	422.000
400998.000	226173.000	424.000
306674.000	286198.000	426.000
301572.000	332168.000	428.000
95093.000	307860.000	430.000
17046.000	240215.000	432.000
-110561.000	212712.000	434.000
-180248.000	153427.000	436.000
-119295.000	69667.000	438.000
-61436.000	79294.000	440.000
-67450.000	-5809.000	442.000
-14874.000	-85933.000	444.000
-4373.000	-103136.000	446.000
-11.000	44.000	448.000
-792.000	-556.000	450.000
3685.000	-6714.000	452.000
6518.000	-4642.000	454.000
15159.000	-5012.000	456.000
6840.000	-4656.000	458.000
32164.000	4740.000	460.000
-2264.000	35005.000	462.000
2704.000	10685.000	464.000
-16059.000	4916.000	466.000
13837.000	8162.000	468.000
44552.000	-8565.000	470.000
-79663.000	-27174.000	472.000
-112642.000	12083.000	474.000
-109144.000	-2705.000	476.000
-162921.000	-106499.000	478.000
-14011.000	-219238.000	480.000
105328.000	-242069.000	482.000
116643.000	-386931.000	484.000
391437.000	-424201.000	486.000
539060.000	-295206.000	488.000
638494.000	-229929.000	490.000
652120.000	-51075.000	492.000
598321.000	173020.000	494.000
407018.000	253105.000	496.000
301632.000	281000.000	498.000
90795.000	305055.000	500.000
26638.000	199987.000	502.000
6589.000	112341.000	504.000
-99805.000	38451.000	506.000
-115767.000	15034.000	508.000
-41457.000	28212.000	510.000
-10.000	-15.000	512.000
543.000	276.000	514.000
5059.000	6129.000	516.000
-2060.000	-1583.000	518.000
14437.000	6131.000	520.000
530.000	10394.000	522.000
-20462.000	4694.000	524.000
-24933.000	16553.000	526.000
-11374.000	132.000	528.000
8492.000	-14466.000	530.000
23119.000	7766.000	532.000
41479.000	-5324.000	534.000
-12940.000	-82986.000	536.000
95520.000	-44969.000	538.000
-18611.000	-97914.000	540.000
-96259.000	-123016.000	542.000
70047.000	-101592.000	544.000
161704.000	-150262.000	546.000
267067.000	-55155.000	548.000
405338.000	63981.000	550.000
407173.000	136097.000	552.000
324349.000	218862.000	554.000
170339.000	284219.000	556.000
7450.000	182513.000	558.000
-60244.000	196360.000	560.000
-113465.000	156478.000	562.000
-117690.000	-12316.000	564.000
-62362.000	-95078.000	566.000
30393.000	-84445.000	568.000
20617.000	-56663.000	570.000
-36664.000	-25377.000	572.000
-46403.000	-51523.000	574.000
20.000	-7.000	576.000
165.000	614.000	578.000
-4967.000	7674.000	580.000
-11063.000	-780.000	582.000
-10466.000	-9282.000	584.000
-7227.000	-883.000	586.000
-24502.000	-31648.000	588.000
3106.000	-34559.000	590.000
28009.000	-2655.000	592.000
18083.000	29778.000	594.000
15556.000	25953.000	596.000
-14944.000	83454.000	598.000
-101414.000	109700.000	600.000
-138135.000	81955.000	602.000
-201525.000	-14389.000	604.000
-189626.000	-143907.000	606.000
-30945.000	-231645.000	608.000
39326.000	-236341.000	610.000
61456.000	-261946.000	612.000
185584.000	-223139.000	614.000
326048.000	-235409.000	616.000
451916.000	-122908.000	618.000
496803.000	-28416.000	620.000
505422.000	131838.000	622.000
303994.000	244517.000	624.000
190403.000	277242.000	626.000
-9965.000	297920.000	628.000
-93140.000	113124.000	630.000
-166412.000	8637.000	632.000
-51563.000	-6113.000	634.000
109843.000	1922.000	636.000
147712.000	99426.000	638.000
10.000	-35.000	640.000
85.000	324.000	642.000
2424.000	6782.000	644.000
-12733.000	-747.000	646.000
-8724.000	-10741.000	648.000
-6557.000	15542.000	650.000
-8786.000	39583.000	652.000
16752.000	19436.000	654.000
6689.000	-3927.000	656.000
22672.000	17968.000	658.000
26225.000	10602.000	660.000
20390.000	51877.000	662.000
-44150.000	83708.000	664.000
-100247.000	96232.000	666.000
-76608.000	3378.000	668.000
-64746.000	-20619.000	670.000
113603.000	-148486.000	672.000
248323.000	-115875.000	674.000
326578.000	-33372.000	676.000
330066.000	42617.000	678.000
284683.000	228591.000	680.000
220130.000	248306.000	682.000
69133.000	200595.000	684.000
11430.000	135002.000	686.000
-11752.000	24481.000	688.000
-6890.000	66345.000	690.000
-31469.000	186245.000	692.000
-21890.000	83829.000	694.000
-63735.000	31379.000	696.000
-106797.000	-25843.000	698.000
-113292.000	2795.000	700.000
1559.000	-5754.000	702.000
-36.000	-56.000	704.000
595.000	498.000	706.000
6921.000	-2228.000	708.000
-1305.000	826.000	710.000
-4932.000	1172.000	712.000
-11366.000	11249.000	714.000
-16514.000	40248.000	716.000
-25421.000	-19991.000	718.000
734.000	-17354.000	720.000
38857.000	-13960.000	722.000
17755.000	-8652.000	724.000
12986.000	58662.000	726.000
-32665.000	118093.000	728.000
-52936.000	111609.000	730.000
-22872.000	130603.000	732.000
-141884.000	-31161.000	734.000
-161075.000	-92331.000	736.000
-13798.000	-116580.000	738.000
50729.000	-217069.000	740.000
232816.000	-229260.000	742.000
228124.000	-140458.000	744.000
280322.000	6826.000	746.000
291720.000	39446.000	748.000
345415.000	23147.000	750.000
249502.000	66103.000	752.000
175451.000	109878.000	754.000
53120.000	135954.000	756.000
-21736.000	161484.000	758.000
-112745.000	12292.000	760.000
-130208.000	-25112.000	762.000
-28729.000	36546.000	764.000
-70427.000	-64684.000	766.000
-72.000	8.000	768.000
1717.000	-263.000	770.000
7761.000	-19705.000	772.000
286.000	6229.000	774.000
-3931.000	9815.000	776.000
125.000	10093.000	778.000
6431.000	37404.000	780.000
-1589.000	21413.000	782.000
3913.000	-15654.000	784.000
37840.000	-31627.000	786.000
25714.000	-32779.000	788.000
40709.000	-8175.000	790.000
21043.000	56967.000	792.000
82780.000	99713.000	794.000
-54998.000	89643.000	796.000
-59961.000	-5961.000	798.000
-5064.000	-140602.000	800.000
20593.000	-210791.000	802.000
210451.000	-127143.000	804.000
237409.000	-81985.000	806.000
187002.000	105160.000	808.000
168959.000	215525.000	810.000
94796.000	289540.000	812.000
18025.000	167379.000	814.000
34469.000	68210.000	816.000
52661.000	92214.000	818.000
59429.000	-36803.000	820.000
135942.000	-67303.000	822.000
11748.000	-75658.000	824.000
13403.000	-45995.000	826.000
-31510.000	56728.000	828.000
-27264.000	70862.000	830.000
-34.000	-12.000	832.000
