Z,B,Bx,By,Bz

1.800000e-01,1.219074e+03,-76,-4.133333e+01,1216
2.300000e-01,1.182727e+03,-81,-4.733333e+01,1179
2.800000e-01,1.149855e+03,-87,-53,1.145333e+03
3.300000e-01,1.101659e+03,-9.133333e+01,-58,1.096333e+03
3.800000e-01,1.057911e+03,-1.023333e+02,-5.833333e+01,1.051333e+03
4.300000e-01,1.013647e+03,-102,-71,1006
4.800000e-01,9.695628e+02,-99,-6.933333e+01,962
5.300000e-01,9.218498e+02,-98,-6.933333e+01,914
5.800000e-01,8.773617e+02,-96,-6.933333e+01,8.693333e+02
6.300000e-01,8.402492e+02,-96,-6.766667e+01,832
6.800000e-01,7.895943e+02,-95,-7.066667e+01,7.806667e+02
7.300000e-01,7.523730e+02,-8.966667e+01,-67,744
7.800000e-01,7.055454e+02,-8.566667e+01,-6.466667e+01,6.973333e+02
8.300000e-01,6.681546e+02,-8.166667e+01,-61,6.603333e+02
8.800000e-01,6.285759e+02,-8.166667e+01,-5.666667e+01,6.206667e+02
9.300000e-01,5.937474e+02,-76,-58,586
9.800000e-01,5.648523e+02,-71,-55,5.576667e+02
1.030000e+00,5.267091e+02,-67,-5.033333e+01,520
1.080000e+00,5.036645e+02,-63,-4.866667e+01,4.973333e+02
1.130000e+00,4.673140e+02,-6.133333e+01,-4.233333e+01,4.613333e+02
1.180000e+00,4.437288e+02,-5.633333e+01,-4.333333e+01,438
1.230000e+00,4.155309e+02,-5.266667e+01,-4.233333e+01,410
1.280000e+00,3.962390e+02,-4.866667e+01,-3.866667e+01,3.913333e+02
1.330000e+00,3.688304e+02,-45,-3.566667e+01,3.643333e+02
1.380000e+00,3.475097e+02,-45,-33,343
1.430000e+00,3.278763e+02,-4.066667e+01,-33,3.236667e+02
1.480000e+00,3.100625e+02,-39,-3.133333e+01,306
1.530000e+00,2.930671e+02,-3.433333e+01,-2.833333e+01,2.896667e+02
1.580000e+00,2.753947e+02,-3.333333e+01,-2.733333e+01,272
1.630000e+00,2.606925e+02,-32,-2.333333e+01,2.576667e+02
1.680000e+00,2.470061e+02,-30,-24,244
1.730000e+00,2.333067e+02,-2.666667e+01,-2.266667e+01,2.306667e+02
1.780000e+00,2.205400e+02,-2.566667e+01,-2.133333e+01,218
1.830000e+00,2.093063e+02,-2.366667e+01,-20,207
1.880000e+00,2.007943e+02,-2.266667e+01,-1.833333e+01,1.986667e+02
1.930000e+00,1.880827e+02,-2.133333e+01,-18,186
1.980000e+00,1.795584e+02,-1.966667e+01,-17,1.776667e+02
2.030000e+00,1.691617e+02,-1.866667e+01,-1.633333e+01,1.673333e+02
2.080000e+00,1.606193e+02,-1.766667e+01,-1.433333e+01,159
2.130000e+00,1.534912e+02,-1.666667e+01,-1.333333e+01,152
2.180000e+00,1.454984e+02,-16,-1.333333e+01,144
2.230000e+00,1.382948e+02,-14,-1.266667e+01,137
2.280000e+00,1.315962e+02,-1.366667e+01,-12,1.303333e+02
2.330000e+00,1.258200e+02,-1.266667e+01,-1.133333e+01,1.246667e+02
2.380000e+00,1.190873e+02,-12,-1.066667e+01,118
2.430000e+00,1.141665e+02,-12,-11,113
2.480000e+00,1.097745e+02,-11,-11,1.086667e+02
2.530000e+00,1.032139e+02,-10,-9,1.023333e+02
2.580000e+00,9.987603e+01,-9.333333e+00,-9.333333e+00,99
2.630000e+00,9.413584e+01,-9,-8.333333e+00,9.333333e+01
2.680000e+00,9.143061e+01,-8.666667e+00,-8,9.066667e+01
2.730000e+00,8.683893e+01,-9,-8,86
2.780000e+00,8.436758e+01,-7.333333e+00,-8,8.366667e+01
2.830000e+00,7.961784e+01,-7,-7,79
2.880000e+00,7.700361e+01,-7,-7.333333e+00,7.633333e+01
2.930000e+00,7.255649e+01,-6.666667e+00,-6,72
2.980000e+00,7.090291e+01,-6,-6.666667e+00,7.033333e+01
3.030000e+00,6.690790e+01,-5.666667e+00,-6.666667e+00,6.633333e+01
3.080000e+00,6.522270e+01,-5.666667e+00,-6.333333e+00,6.466667e+01
3.130000e+00,6.221647e+01,-5.666667e+00,-6,6.166667e+01
3.180000e+00,5.984146e+01,-5.333333e+00,-5.666667e+00,5.933333e+01
