Z,B,Bx,By,Bz

1.800000e-01,1.226333e+03,-7.366667e+01,-1.003333e+02,1220
2.300000e-01,1.188180e+03,-74,-1.036667e+02,1.181333e+03
2.800000e-01,1.145181e+03,-76,-1.066667e+02,1.137667e+03
3.300000e-01,1.101667e+03,-7.633333e+01,-1.083333e+02,1.093667e+03
3.800000e-01,1.055164e+03,-7.966667e+01,-104,1047
4.300000e-01,1.011913e+03,-78,-112,1.002667e+03
4.800000e-01,9.636197e+02,-7.566667e+01,-107,9.546667e+02
5.300000e-01,9.301637e+02,-72,-1.056667e+02,9.213333e+02
5.800000e-01,8.711211e+02,-69,-1.023333e+02,8.623333e+02
6.300000e-01,8.268653e+02,-6.866667e+01,-9.933333e+01,818
6.800000e-01,7.833374e+02,-66,-9.833333e+01,7.743333e+02
7.300000e-01,7.392324e+02,-6.133333e+01,-9.133333e+01,731
7.800000e-01,6.984161e+02,-59,-88,6.903333e+02
8.300000e-01,6.616758e+02,-5.566667e+01,-8.366667e+01,654
8.800000e-01,6.221627e+02,-56,-7.566667e+01,615
9.300000e-01,5.900719e+02,-52,-7.733333e+01,5.826667e+02
9.800000e-01,5.528729e+02,-4.866667e+01,-72,546
1.030000e+00,5.205418e+02,-44,-67,5.143333e+02
1.080000e+00,4.905883e+02,-42,-6.333333e+01,4.846667e+02
1.130000e+00,4.614126e+02,-4.233333e+01,-5.633333e+01,456
1.180000e+00,4.415229e+02,-39,-5.766667e+01,436
1.230000e+00,4.109380e+02,-35,-53,406
1.280000e+00,3.867124e+02,-33,-5.033333e+01,382
1.330000e+00,3.646219e+02,-30,-47,3.603333e+02
1.380000e+00,3.432951e+02,-3.066667e+01,-42,3.393333e+02
1.430000e+00,3.247763e+02,-2.933333e+01,-4.233333e+01,3.206667e+02
1.480000e+00,3.060742e+02,-26,-40,3.023333e+02
1.530000e+00,2.886368e+02,-24,-3.633333e+01,2.853333e+02
1.580000e+00,2.728170e+02,-22,-35,2.696667e+02
1.630000e+00,2.571584e+02,-22,-31,2.543333e+02
1.680000e+00,2.450834e+02,-20,-3.066667e+01,2.423333e+02
1.730000e+00,2.305669e+02,-1.833333e+01,-29,228
1.780000e+00,2.177106e+02,-1.733333e+01,-27,2.153333e+02
1.830000e+00,2.072192e+02,-16,-2.566667e+01,205
1.880000e+00,1.960402e+02,-1.633333e+01,-23,194
1.930000e+00,1.860648e+02,-1.533333e+01,-23,184
1.980000e+00,1.780315e+02,-1.433333e+01,-2.266667e+01,176
2.030000e+00,1.677859e+02,-13,-2.066667e+01,166
2.080000e+00,1.596155e+02,-1.233333e+01,-19,158
2.130000e+00,1.525815e+02,-12,-1.833333e+01,151
2.180000e+00,1.435169e+02,-11,-1.766667e+01,142
2.230000e+00,1.374728e+02,-1.066667e+01,-17,136
2.280000e+00,1.309919e+02,-10,-1.566667e+01,1.296667e+02
2.330000e+00,1.246083e+02,-9,-1.533333e+01,1.233333e+02
2.380000e+00,1.191679e+02,-9,-14,118
2.430000e+00,1.131548e+02,-8,-14,112
2.480000e+00,1.080833e+02,-8,-13,107
2.530000e+00,1.033344e+02,-7.333333e+00,-1.233333e+01,1.023333e+02
2.580000e+00,9.960031e+01,-7,-1.166667e+01,9.866667e+01
2.630000e+00,9.390953e+01,-7,-11,93
2.680000e+00,8.988449e+01,-6.666667e+00,-1.066667e+01,89
2.730000e+00,8.655570e+01,-5.666667e+00,-11,8.566667e+01
2.780000e+00,8.273989e+01,-5.333333e+00,-9.666667e+00,82
2.830000e+00,7.904570e+01,-5,-9.333333e+00,7.833333e+01
2.880000e+00,7.566446e+01,-5,-8.666667e+00,75
2.930000e+00,7.273239e+01,-5,-9,72
2.980000e+00,7.005157e+01,-5,-8.666667e+00,6.933333e+01
3.030000e+00,6.701658e+01,-4,-8.666667e+00,6.633333e+01
3.080000e+00,6.464347e+01,-4.333333e+00,-8,64
3.130000e+00,6.153048e+01,-4,-7,61
3.180000e+00,5.963034e+01,-4,-7.666667e+00,59
