Z,B,Bx,By,Bz

1.800000e-01,1.275130e+03,-5.733333e+01,-135,1.266667e+03
2.300000e-01,1.248845e+03,-63,-1.343333e+02,1240
2.800000e-01,1.207584e+03,-6.733333e+01,-139,1.197667e+03
3.300000e-01,1.163906e+03,-70,-140,1.153333e+03
3.800000e-01,1.117423e+03,-7.366667e+01,-136,1.106667e+03
4.300000e-01,1.071351e+03,-7.566667e+01,-141,1.059333e+03
4.800000e-01,1.023512e+03,-7.466667e+01,-141,1011
5.300000e-01,9.746517e+02,-7.066667e+01,-135,9.626667e+02
5.800000e-01,9.270965e+02,-7.033333e+01,-1.316667e+02,915
6.300000e-01,8.805890e+02,-70,-124,869
6.800000e-01,8.354375e+02,-6.633333e+01,-123,8.236667e+02
7.300000e-01,7.901033e+02,-64,-1.176667e+02,7.786667e+02
7.800000e-01,7.470226e+02,-6.166667e+01,-112,736
8.300000e-01,7.060549e+02,-5.766667e+01,-106,6.956667e+02
8.800000e-01,6.650561e+02,-58,-9.733333e+01,6.553333e+02
9.300000e-01,6.280086e+02,-5.533333e+01,-97,618
9.800000e-01,5.935073e+02,-5.166667e+01,-9.233333e+01,584
1.030000e+00,5.579280e+02,-4.666667e+01,-8.566667e+01,5.493333e+02
1.080000e+00,5.249722e+02,-4.366667e+01,-80,517
1.130000e+00,4.946035e+02,-4.366667e+01,-7.233333e+01,4.873333e+02
1.180000e+00,4.663452e+02,-4.133333e+01,-7.133333e+01,459
1.230000e+00,4.397633e+02,-37,-6.733333e+01,433
1.280000e+00,4.136317e+02,-3.466667e+01,-63,4.073333e+02
1.330000e+00,3.902334e+02,-33,-59,3.843333e+02
1.380000e+00,3.678495e+02,-3.166667e+01,-55,3.623333e+02
1.430000e+00,3.478649e+02,-3.033333e+01,-5.166667e+01,3.426667e+02
1.480000e+00,3.277670e+02,-28,-5.033333e+01,3.226667e+02
1.530000e+00,3.088585e+02,-2.566667e+01,-46,3.043333e+02
1.580000e+00,2.923250e+02,-2.333333e+01,-4.433333e+01,288
1.630000e+00,2.772975e+02,-23,-4.066667e+01,2.733333e+02
1.680000e+00,2.604976e+02,-21,-37,257
1.730000e+00,2.471711e+02,-20,-3.633333e+01,2.436667e+02
1.780000e+00,2.334757e+02,-18,-3.366667e+01,2.303333e+02
1.830000e+00,2.209910e+02,-17,-32,218
1.880000e+00,2.098523e+02,-17,-30,207
1.930000e+00,1.985886e+02,-16,-2.766667e+01,196
1.980000e+00,1.886175e+02,-1.466667e+01,-2.766667e+01,186
2.030000e+00,1.786175e+02,-13,-2.533333e+01,1.763333e+02
2.080000e+00,1.701532e+02,-1.233333e+01,-24,168
2.130000e+00,1.612675e+02,-1.166667e+01,-22,1.593333e+02
2.180000e+00,1.538376e+02,-11,-21,152
2.230000e+00,1.461479e+02,-10,-2.066667e+01,1.443333e+02
2.280000e+00,1.389332e+02,-9,-19,1.373333e+02
2.330000e+00,1.322073e+02,-9,-18,1.306667e+02
2.380000e+00,1.264709e+02,-8.333333e+00,-1.733333e+01,125
2.430000e+00,1.203596e+02,-8.333333e+00,-16,119
2.480000e+00,1.153723e+02,-7.666667e+00,-16,114
2.530000e+00,1.098969e+02,-7.333333e+00,-1.466667e+01,1.086667e+02
2.580000e+00,1.048200e+02,-6.666667e+00,-14,1.036667e+02
2.630000e+00,1.001854e+02,-6.333333e+00,-14,99
2.680000e+00,9.572008e+01,-6.333333e+00,-1.266667e+01,9.466667e+01
2.730000e+00,9.172241e+01,-5.666667e+00,-1.266667e+01,9.066667e+01
2.780000e+00,8.796590e+01,-5,-12,87
2.830000e+00,8.381262e+01,-4.666667e+00,-1.066667e+01,83
2.880000e+00,8.055778e+01,-4.666667e+00,-11,7.966667e+01
2.930000e+00,7.710527e+01,-5,-9.666667e+00,7.633333e+01
2.980000e+00,7.380906e+01,-4.333333e+00,-10,73
3.030000e+00,7.110712e+01,-4,-9.666667e+00,7.033333e+01
3.080000e+00,6.801389e+01,-3.333333e+00,-9,6.733333e+01
3.130000e+00,6.567766e+01,-3.666667e+00,-8.666667e+00,65
3.180000e+00,6.291617e+01,-3,-8,6.233333e+01
