Z,B,Bx,By,Bz

1.800000e-01,1.233520e+03,3.533333e+01,50,-1232
2.300000e-01,1.197091e+03,39,59,-1195
2.800000e-01,1.165068e+03,4.433333e+01,6.633333e+01,-1.162333e+03
3.300000e-01,1.112577e+03,4.766667e+01,7.533333e+01,-1109
3.800000e-01,1.076412e+03,5.466667e+01,76,-1.072333e+03
4.300000e-01,1.022808e+03,57,89,-1.017333e+03
4.800000e-01,9.755654e+02,55,8.833333e+01,-970
5.300000e-01,9.340189e+02,5.333333e+01,88,-9.283333e+02
5.800000e-01,8.837520e+02,54,8.833333e+01,-8.776667e+02
6.300000e-01,8.371901e+02,5.666667e+01,81,-8.313333e+02
6.800000e-01,8.068048e+02,5.533333e+01,8.566667e+01,-8.003333e+02
7.300000e-01,7.516423e+02,50,8.333333e+01,-7.453333e+02
7.800000e-01,7.102232e+02,49,80,-704
8.300000e-01,6.744323e+02,47,7.733333e+01,-6.683333e+02
8.800000e-01,6.329757e+02,48,6.933333e+01,-6.273333e+02
9.300000e-01,5.978185e+02,4.566667e+01,7.233333e+01,-5.916667e+02
9.800000e-01,5.694345e+02,4.266667e+01,6.866667e+01,-5.636667e+02
1.030000e+00,5.307509e+02,38,6.266667e+01,-5.256667e+02
1.080000e+00,5.005106e+02,3.666667e+01,59,-4.956667e+02
1.130000e+00,4.751216e+02,37,5.333333e+01,-4.706667e+02
1.180000e+00,4.451826e+02,34,5.333333e+01,-4.406667e+02
1.230000e+00,4.191593e+02,3.166667e+01,4.966667e+01,-415
1.280000e+00,3.982063e+02,2.933333e+01,47,-3.943333e+02
1.330000e+00,3.728314e+02,2.733333e+01,43,-3.693333e+02
1.380000e+00,3.513183e+02,2.733333e+01,3.966667e+01,-348
1.430000e+00,3.332608e+02,2.533333e+01,39,-330
1.480000e+00,3.133096e+02,2.366667e+01,36,-3.103333e+02
1.530000e+00,2.949868e+02,2.166667e+01,33,-2.923333e+02
1.580000e+00,2.796563e+02,1.933333e+01,3.033333e+01,-2.773333e+02
1.630000e+00,2.637813e+02,20,2.666667e+01,-2.616667e+02
1.680000e+00,2.491468e+02,1.833333e+01,27,-247
1.730000e+00,2.366178e+02,1.666667e+01,2.533333e+01,-2.346667e+02
1.780000e+00,2.238070e+02,1.566667e+01,2.366667e+01,-222
1.830000e+00,2.119659e+02,1.433333e+01,22,-2.103333e+02
1.880000e+00,2.004423e+02,1.466667e+01,19,-199
1.930000e+00,1.921550e+02,14,1.933333e+01,-1.906667e+02
1.980000e+00,1.813407e+02,1.266667e+01,18,-180
2.030000e+00,1.718116e+02,1.166667e+01,16,-1.706667e+02
2.080000e+00,1.644513e+02,11,1.566667e+01,-1.633333e+02
2.130000e+00,1.549211e+02,1.033333e+01,1.333333e+01,-154
2.180000e+00,1.472496e+02,10,13,-1.463333e+02
2.230000e+00,1.405284e+02,9,1.266667e+01,-1.396667e+02
2.280000e+00,1.341450e+02,9,1.166667e+01,-1.333333e+02
2.330000e+00,1.277263e+02,8,11,-127
2.380000e+00,1.215977e+02,8,9,-121
2.430000e+00,1.173172e+02,7.666667e+00,9.666667e+00,-1.166667e+02
2.480000e+00,1.112525e+02,7,9,-1.106667e+02
2.530000e+00,1.055625e+02,7,8.333333e+00,-105
2.580000e+00,1.011319e+02,6.333333e+00,7.333333e+00,-1.006667e+02
2.630000e+00,9.643939e+01,6.333333e+00,6.666667e+00,-96
2.680000e+00,9.243616e+01,6,6.666667e+00,-92
2.730000e+00,8.902933e+01,5.333333e+00,6,-8.866667e+01
2.780000e+00,8.461810e+01,4,5.666667e+00,-8.433333e+01
2.830000e+00,8.093756e+01,4.333333e+00,5,-8.066667e+01
2.880000e+00,7.796723e+01,4.666667e+00,5,-7.766667e+01
2.930000e+00,7.497926e+01,4.666667e+00,5,-7.466667e+01
2.980000e+00,7.159609e+01,4.333333e+00,4.333333e+00,-7.133333e+01
3.030000e+00,6.851277e+01,3.333333e+00,3.666667e+00,-6.833333e+01
3.080000e+00,6.683313e+01,3.333333e+00,3.333333e+00,-6.666667e+01
3.130000e+00,6.349541e+01,3.666667e+00,2.666667e+00,-6.333333e+01
3.180000e+00,6.115463e+01,3.666667e+00,2.333333e+00,-61
