Z,B,Bx,By,Bz
1.800000e-01,1.282358e+03,-1.076667e+02,-85,1275
2.300000e-01,1.249816e+03,-1.123333e+02,-8.766667e+01,1.241667e+03
2.800000e-01,1.204201e+03,-1.166667e+02,-92,1195
3.300000e-01,1.161231e+03,-122,-9.766667e+01,1.150667e+03
3.800000e-01,1.112450e+03,-127,-96,1101
4.300000e-01,1.079245e+03,-128,-103,1.066667e+03
4.800000e-01,1.017557e+03,-1.243333e+02,-103,1.004667e+03
5.300000e-01,9.684501e+02,-1.223333e+02,-1.013333e+02,9.553333e+02
5.800000e-01,9.318522e+02,-120,-100,9.186667e+02
6.300000e-01,8.732623e+02,-120,-9.266667e+01,860
6.800000e-01,8.289247e+02,-1.166667e+02,-9.633333e+01,815
7.300000e-01,7.892750e+02,-1.083333e+02,-9.233333e+01,7.763333e+02
7.800000e-01,7.400842e+02,-1.026667e+02,-8.766667e+01,7.276667e+02
8.300000e-01,6.989801e+02,-98,-8.366667e+01,687
8.800000e-01,6.592310e+02,-97,-7.833333e+01,6.473333e+02
9.300000e-01,6.266116e+02,-91,-7.833333e+01,615
9.800000e-01,5.863251e+02,-84,-73,5.756667e+02
1.030000e+00,5.607503e+02,-80,-6.933333e+01,5.506667e+02
1.080000e+00,5.206090e+02,-74,-64,5.113333e+02
1.130000e+00,4.995636e+02,-73,-59,4.906667e+02
1.180000e+00,4.617679e+02,-6.766667e+01,-5.866667e+01,453
1.230000e+00,4.350022e+02,-6.366667e+01,-5.333333e+01,427
1.280000e+00,4.152516e+02,-5.833333e+01,-5.066667e+01,408
1.330000e+00,3.866846e+02,-54,-47,380
1.380000e+00,3.654005e+02,-5.333333e+01,-4.233333e+01,359
1.430000e+00,3.441881e+02,-49,-4.266667e+01,338
1.480000e+00,3.243857e+02,-47,-41,3.183333e+02
1.530000e+00,3.058324e+02,-42,-37,3.006667e+02
1.580000e+00,2.888114e+02,-40,-34,284
1.630000e+00,2.762258e+02,-3.866667e+01,-3.166667e+01,2.716667e+02
1.680000e+00,2.580252e+02,-3.533333e+01,-3.133333e+01,2.536667e+02
1.730000e+00,2.443608e+02,-3.333333e+01,-29,2.403333e+02
1.780000e+00,2.339292e+02,-3.066667e+01,-27,2.303333e+02
1.830000e+00,2.187053e+02,-2.866667e+01,-2.533333e+01,2.153333e+02
1.880000e+00,2.066121e+02,-28,-2.366667e+01,2.033333e+02
1.930000e+00,1.967054e+02,-2.533333e+01,-2.333333e+01,1.936667e+02
1.980000e+00,1.862943e+02,-25,-2.166667e+01,1.833333e+02
2.030000e+00,1.768505e+02,-22,-20,1.743333e+02
2.080000e+00,1.697544e+02,-2.133333e+01,-19,1.673333e+02
2.130000e+00,1.593002e+02,-2.066667e+01,-1.733333e+01,157
2.180000e+00,1.517560e+02,-1.933333e+01,-16,1.496667e+02
2.230000e+00,1.440652e+02,-18,-1.633333e+01,142
2.280000e+00,1.371783e+02,-1.666667e+01,-15,1.353333e+02
2.330000e+00,1.317270e+02,-16,-14,130
2.380000e+00,1.248862e+02,-15,-1.266667e+01,1.233333e+02
2.430000e+00,1.201984e+02,-1.433333e+01,-1.266667e+01,1.186667e+02
2.480000e+00,1.139088e+02,-14,-1.266667e+01,1.123333e+02
2.530000e+00,1.089969e+02,-1.233333e+01,-1.166667e+01,1.076667e+02
2.580000e+00,1.035449e+02,-1.133333e+01,-11,1.023333e+02
2.630000e+00,9.820500e+01,-1.133333e+01,-1.033333e+01,97
2.680000e+00,9.423434e+01,-12,-9.333333e+00,93
2.730000e+00,9.084969e+01,-1.033333e+01,-1.033333e+01,8.966667e+01
2.780000e+00,8.631274e+01,-9.333333e+00,-9,8.533333e+01
2.830000e+00,8.331266e+01,-8.666667e+00,-9.333333e+00,8.233333e+01
2.880000e+00,7.991245e+01,-9,-8,79
2.930000e+00,7.720248e+01,-8.333333e+00,-8,7.633333e+01
2.980000e+00,7.288347e+01,-8,-8,72
3.030000e+00,7.120081e+01,-8,-7.666667e+00,7.033333e+01
3.080000e+00,6.706796e+01,-7,-7,6.633333e+01
3.130000e+00,6.472592e+01,-7,-6.666667e+00,64
3.180000e+00,6.195070e+01,-6.333333e+00,-6,6.133333e+01
