Z,B,Bx,By,Bz
1.800000e-01,1.244554e+03,-100,-117,1235
2.300000e-01,1.207745e+03,-1.053333e+02,-1.246667e+02,1.196667e+03
2.800000e-01,1.170679e+03,-1.096667e+02,-1.293333e+02,1.158333e+03
3.300000e-01,1.139041e+03,-1.153333e+02,-1.303333e+02,1.125667e+03
3.800000e-01,1.082108e+03,-1.173333e+02,-1.393333e+02,1.066667e+03
4.300000e-01,1.051204e+03,-118,-141,1035
4.800000e-01,9.897950e+02,-116,-1.373333e+02,9.733333e+02
5.300000e-01,9.528746e+02,-1.133333e+02,-1.356667e+02,9.363333e+02
5.800000e-01,8.966774e+02,-1.116667e+02,-131,880
6.300000e-01,8.601698e+02,-1.093333e+02,-1.293333e+02,8.433333e+02
6.800000e-01,8.073728e+02,-1.053333e+02,-127,7.903333e+02
7.300000e-01,7.627264e+02,-100,-1.193333e+02,7.466667e+02
7.800000e-01,7.264350e+02,-9.466667e+01,-115,711
8.300000e-01,6.932562e+02,-9.266667e+01,-109,6.783333e+02
8.800000e-01,6.441926e+02,-90,-102,6.296667e+02
9.300000e-01,6.147587e+02,-84,-1.023333e+02,6.003333e+02
9.800000e-01,5.712586e+02,-7.633333e+01,-9.366667e+01,5.583333e+02
1.030000e+00,5.442216e+02,-7.233333e+01,-89,532
1.080000e+00,5.074372e+02,-6.933333e+01,-8.166667e+01,496
1.130000e+00,4.820997e+02,-67,-76,4.713333e+02
1.180000e+00,4.508727e+02,-6.333333e+01,-7.533333e+01,440
1.230000e+00,4.268419e+02,-5.633333e+01,-6.966667e+01,4.173333e+02
1.280000e+00,3.992679e+02,-54,-6.433333e+01,3.903333e+02
1.330000e+00,3.778715e+02,-5.033333e+01,-60,3.696667e+02
1.380000e+00,3.548428e+02,-4.866667e+01,-56,347
1.430000e+00,3.351953e+02,-4.433333e+01,-55,3.276667e+02
1.480000e+00,3.161580e+02,-4.166667e+01,-5.233333e+01,309
1.530000e+00,2.991404e+02,-3.866667e+01,-4.833333e+01,2.926667e+02
1.580000e+00,2.845630e+02,-36,-45,2.786667e+02
1.630000e+00,2.662860e+02,-35,-4.166667e+01,2.606667e+02
1.680000e+00,2.533835e+02,-3.233333e+01,-4.066667e+01,248
1.730000e+00,2.382086e+02,-2.966667e+01,-3.766667e+01,2.333333e+02
1.780000e+00,2.295646e+02,-2.833333e+01,-3.566667e+01,225
1.830000e+00,2.132630e+02,-2.666667e+01,-33,209
1.880000e+00,2.040964e+02,-2.533333e+01,-2.966667e+01,2.003333e+02
1.930000e+00,1.925804e+02,-2.433333e+01,-30,1.886667e+02
1.980000e+00,1.820000e+02,-2.133333e+01,-2.733333e+01,1.786667e+02
2.030000e+00,1.723346e+02,-2.066667e+01,-2.666667e+01,169
2.080000e+00,1.645499e+02,-1.866667e+01,-2.433333e+01,1.616667e+02
2.130000e+00,1.584515e+02,-19,-2.266667e+01,1.556667e+02
2.180000e+00,1.484101e+02,-1.666667e+01,-23,1.456667e+02
2.230000e+00,1.428445e+02,-16,-2.133333e+01,1.403333e+02
2.280000e+00,1.342973e+02,-15,-1.966667e+01,132
2.330000e+00,1.281310e+02,-1.433333e+01,-1.833333e+01,126
2.380000e+00,1.220988e+02,-14,-1.766667e+01,120
2.430000e+00,1.166957e+02,-13,-1.733333e+01,1.146667e+02
2.480000e+00,1.129198e+02,-1.233333e+01,-1.666667e+01,111
2.530000e+00,1.057697e+02,-1.166667e+01,-1.533333e+01,104
2.580000e+00,1.022872e+02,-1.066667e+01,-1.466667e+01,1.006667e+02
2.630000e+00,9.651425e+01,-11,-13,95
2.680000e+00,9.358181e+01,-1.033333e+01,-1.366667e+01,92
2.730000e+00,8.850926e+01,-9.333333e+00,-1.333333e+01,87
2.780000e+00,8.529426e+01,-8.666667e+00,-12,84
2.830000e+00,8.128961e+01,-8,-12,80
2.880000e+00,7.779817e+01,-7.333333e+00,-11,7.666667e+01
2.930000e+00,7.481681e+01,-8,-1.033333e+01,7.366667e+01
2.980000e+00,7.185943e+01,-7,-11,7.066667e+01
3.030000e+00,6.974318e+01,-7,-10,6.866667e+01
3.080000e+00,6.579514e+01,-7.333333e+00,-9.666667e+00,6.466667e+01
3.130000e+00,6.395398e+01,-6.333333e+00,-9,63
3.180000e+00,6.096720e+01,-6,-9,60
