Z,B,Bx,By,Bz

1.800000e-01,1.241056e+03,-1.556667e+02,-1.423333e+02,1223
2.300000e-01,1.202960e+03,-1.546667e+02,-1.433333e+02,1.184333e+03
2.800000e-01,1.162454e+03,-1.546667e+02,-1.446667e+02,1143
3.300000e-01,1.122318e+03,-1.543333e+02,-1.436667e+02,1.102333e+03
3.800000e-01,1.072459e+03,-1.523333e+02,-1.423333e+02,1052
4.300000e-01,1.038410e+03,-1.496667e+02,-1.446667e+02,1.017333e+03
4.800000e-01,9.798314e+02,-141,-1.386667e+02,9.596667e+02
5.300000e-01,9.482415e+02,-138,-1.353333e+02,9.283333e+02
5.800000e-01,8.876823e+02,-1.316667e+02,-129,8.683333e+02
6.300000e-01,8.401610e+02,-129,-121,8.213333e+02
6.800000e-01,7.971603e+02,-1.243333e+02,-1.213333e+02,778
7.300000e-01,7.540519e+02,-1.133333e+02,-1.143333e+02,7.366667e+02
7.800000e-01,7.122312e+02,-109,-111,6.950333e+02
8.300000e-01,6.727507e+02,-102,-1.026667e+02,657
8.800000e-01,6.331956e+02,-1.016667e+02,-9.533333e+01,6.176667e+02
9.300000e-01,6.071069e+02,-9.433333e+01,-96,592
9.800000e-01,5.630496e+02,-86,-8.866667e+01,5.493333e+02
1.030000e+00,5.303804e+02,-8.166667e+01,-8.366667e+01,5.173333e+02
1.080000e+00,5.046131e+02,-7.566667e+01,-7.866667e+01,4.926667e+02
1.130000e+00,4.703414e+02,-7.366667e+01,-6.933333e+01,4.593333e+02
1.180000e+00,4.437427e+02,-6.933333e+01,-70,4.326667e+02
1.230000e+00,4.180970e+02,-62,-65,4.083333e+02
1.280000e+00,3.932131e+02,-5.933333e+01,-6.033333e+01,384
1.330000e+00,3.745750e+02,-55,-5.766667e+01,366
1.380000e+00,3.492700e+02,-5.366667e+01,-51,3.413333e+02
1.430000e+00,3.296756e+02,-49,-51,322
1.480000e+00,3.112884e+02,-46,-4.866667e+01,304
1.530000e+00,2.944539e+02,-42,-4.466667e+01,288
1.580000e+00,2.778429e+02,-3.966667e+01,-4.266667e+01,2.716667e+02
1.630000e+00,2.618102e+02,-38,-3.733333e+01,2.563333e+02
1.680000e+00,2.484715e+02,-3.633333e+01,-37,243
1.730000e+00,2.345618e+02,-32,-3.533333e+01,2.296667e+02
1.780000e+00,2.219532e+02,-3.066667e+01,-33,2.173333e+02
1.830000e+00,2.102868e+02,-2.833333e+01,-3.133333e+01,206
1.880000e+00,1.993066e+02,-28,-28,1.953333e+02
1.930000e+00,1.892773e+02,-2.633333e+01,-28,1.853333e+02
1.980000e+00,1.796249e+02,-2.366667e+01,-27,176
2.030000e+00,1.702880e+02,-22,-25,167
2.080000e+00,1.615075e+02,-2.133333e+01,-2.366667e+01,1.583333e+02
2.130000e+00,1.529593e+02,-2.066667e+01,-2.166667e+01,150
2.180000e+00,1.458256e+02,-19,-2.133333e+01,143
2.230000e+00,1.385456e+02,-1.766667e+01,-1.966667e+01,136
2.280000e+00,1.337909e+02,-1.666667e+01,-1.933333e+01,1.313333e+02
2.330000e+00,1.262343e+02,-1.533333e+01,-18,124
2.380000e+00,1.201060e+02,-1.566667e+01,-16,118
2.430000e+00,1.161369e+02,-15,-1.633333e+01,114
2.480000e+00,1.096226e+02,-13,-16,1.076667e+02
2.530000e+00,1.045753e+02,-1.266667e+01,-1.533333e+01,1.026667e+02
2.580000e+00,1.000472e+02,-12,-14,9.833333e+01
2.630000e+00,9.528145e+01,-1.166667e+01,-13,9.366667e+01
2.680000e+00,9.183863e+01,-1.066667e+01,-1.266667e+01,9.033333e+01
2.730000e+00,8.740709e+01,-10,-12,86
2.780000e+00,8.409056e+01,-9.666667e+00,-12,8.266667e+01
2.830000e+00,8.035269e+01,-9.333333e+00,-1.133333e+01,79
2.880000e+00,7.726506e+01,-9.333333e+00,-1.033333e+01,76
2.930000e+00,7.388448e+01,-8.666667e+00,-1.016667e+01,7.266667e+01
2.980000e+00,7.046906e+01,-7.666667e+00,-10,6.933333e+01
3.030000e+00,6.772657e+01,-7,-9.666667e+00,6.666667e+01
3.080000e+00,6.533588e+01,-7,-9,6.433333e+01
3.130000e+00,6.231283e+01,-6.333333e+00,-9,6.133333e+01
3.180000e+00,5.992124e+01,-6.333333e+00,-8.333333e+00,59
