Z,B,Bx,By,Bz

1.800000e-01,1.229116e+03,-1.576667e+02,-117,1.213333e+03
2.300000e-01,1.199697e+03,-1.573333e+02,-1.193333e+02,1.183333e+03
2.800000e-01,1.159809e+03,-1.563333e+02,-1.256667e+02,1.142333e+03
3.300000e-01,1.121445e+03,-1.516667e+02,-1.286667e+02,1.103667e+03
3.800000e-01,1.072215e+03,-1.503333e+02,-127,1054
4.300000e-01,1.027518e+03,-1.443333e+02,-135,1.008333e+03
4.800000e-01,9.811921e+02,-1.363333e+02,-132,9.626667e+02
5.300000e-01,9.343610e+02,-131,-1.296667e+02,916
5.800000e-01,8.908604e+02,-1.243333e+02,-1.266667e+02,873
6.300000e-01,8.427469e+02,-1.223333e+02,-1.186667e+02,8.253333e+02
6.800000e-01,8.001151e+02,-116,-119,7.826667e+02
7.300000e-01,7.565687e+02,-1.063333e+02,-114,7.403333e+02
7.800000e-01,7.148999e+02,-1.006667e+02,-109,6.993333e+02
8.300000e-01,6.748168e+02,-9.466667e+01,-104,660
8.800000e-01,6.360976e+02,-9.333333e+01,-95,622
9.300000e-01,6.006139e+02,-8.866667e+01,-9.533333e+01,5.863333e+02
9.800000e-01,5.665064e+02,-8.233333e+01,-9.133333e+01,553
1.030000e+00,5.335369e+02,-7.433333e+01,-8.366667e+01,5.216667e+02
1.080000e+00,5.023923e+02,-6.966667e+01,-7.833333e+01,4.913333e+02
1.130000e+00,4.733724e+02,-68,-7.133333e+01,463
1.180000e+00,4.457764e+02,-6.333333e+01,-70,4.356667e+02
1.230000e+00,4.203920e+02,-58,-6.666667e+01,411
1.280000e+00,3.968516e+02,-5.333333e+01,-62,3.883333e+02
1.330000e+00,3.730818e+02,-51,-58,365
1.380000e+00,3.513417e+02,-49,-52,344
1.430000e+00,3.319916e+02,-47,-51,3.246667e+02
1.480000e+00,3.136243e+02,-43,-4.966667e+01,3.066667e+02
1.530000e+00,2.949766e+02,-3.866667e+01,-4.466667e+01,289
1.580000e+00,2.790056e+02,-37,-42,2.733333e+02
1.630000e+00,2.643472e+02,-35,-3.966667e+01,259
1.680000e+00,2.492687e+02,-3.266667e+01,-37,2.443333e+02
1.730000e+00,2.360240e+02,-3.033333e+01,-3.566667e+01,2.313333e+02
1.780000e+00,2.233199e+02,-2.866667e+01,-33,219
1.830000e+00,2.116543e+02,-2.666667e+01,-31,2.076667e+02
1.880000e+00,1.996937e+02,-2.566667e+01,-2.833333e+01,196
1.930000e+00,1.896142e+02,-2.433333e+01,-2.766667e+01,186
1.980000e+00,1.804270e+02,-2.266667e+01,-2.666667e+01,177
2.030000e+00,1.707197e+02,-21,-2.433333e+01,1.676667e+02
2.080000e+00,1.628367e+02,-1.966667e+01,-23,160
2.130000e+00,1.546670e+02,-1.866667e+01,-2.166667e+01,152
2.180000e+00,1.468612e+02,-1.833333e+01,-20,1.443333e+02
2.230000e+00,1.394445e+02,-17,-1.966667e+01,137
2.280000e+00,1.331244e+02,-15,-1.833333e+01,131
2.330000e+00,1.266794e+02,-1.433333e+01,-1.733333e+01,1.246667e+02
2.380000e+00,1.209288e+02,-14,-1.633333e+01,119
2.430000e+00,1.152196e+02,-14,-1.533333e+01,1.133333e+02
2.480000e+00,1.098089e+02,-13,-15,108
2.530000e+00,1.056667e+02,-12,-1.433333e+01,104
2.580000e+00,9.984098e+01,-11,-1.333333e+01,9.833333e+01
2.630000e+00,9.585811e+01,-11,-13,9.433333e+01
2.680000e+00,9.133942e+01,-1.033333e+01,-1.166667e+01,90
2.730000e+00,8.745348e+01,-10,-1.233333e+01,86
2.780000e+00,8.358761e+01,-9.333333e+00,-11,8.233333e+01
2.830000e+00,8.076509e+01,-8.333333e+00,-1.033333e+01,7.966667e+01
2.880000e+00,7.707140e+01,-8,-10,76
2.930000e+00,7.406454e+01,-8.333333e+00,-9.333333e+00,73
2.980000e+00,7.107899e+01,-7.666667e+00,-9.666667e+00,70
3.030000e+00,6.816728e+01,-7,-8,6.733333e+01
3.080000e+00,6.594779e+01,-7,-8.666667e+00,65
3.130000e+00,6.316293e+01,-6.333333e+00,-8,6.233333e+01
3.180000e+00,6.052548e+01,-6.666667e+00,-7.666667e+00,5.966667e+01
