Z,B,Bx,By,Bz
1.800000e-01,1.294209e+03,-62,-1.316667e+02,1286
2.300000e-01,1.268231e+03,-65,-132,1.259667e+03
2.800000e-01,1.211563e+03,-6.566667e+01,-137,1202
3.300000e-01,1.167243e+03,-6.766667e+01,-1.386667e+02,1157
3.800000e-01,1.127689e+03,-7.233333e+01,-1.396667e+02,1.116667e+03
4.300000e-01,1.068113e+03,-7.133333e+01,-1.436667e+02,1056
4.800000e-01,1.018670e+03,-6.733333e+01,-143,1.006333e+03
5.300000e-01,9.772666e+02,-65,-140,965
5.800000e-01,9.205048e+02,-64,-137,908
6.300000e-01,8.721072e+02,-6.533333e+01,-127,8.603333e+02
6.800000e-01,8.283309e+02,-61,-1.286667e+02,816
7.300000e-01,7.820990e+02,-5.833333e+01,-124,770
7.800000e-01,7.382232e+02,-5.466667e+01,-116,727
8.300000e-01,7.076277e+02,-5.266667e+01,-1.123333e+02,6.966667e+02
8.800000e-01,6.562938e+02,-5.266667e+01,-101,6.463333e+02
9.300000e-01,6.231102e+02,-4.933333e+01,-1.023333e+02,6.126667e+02
9.800000e-01,5.840904e+02,-4.633333e+01,-9.766667e+01,574
1.030000e+00,5.499865e+02,-42,-8.966667e+01,541
1.080000e+00,5.177359e+02,-3.966667e+01,-86,509
1.130000e+00,4.872947e+02,-40,-76,4.796667e+02
1.180000e+00,4.655464e+02,-3.666667e+01,-75,458
1.230000e+00,4.330776e+02,-3.366667e+01,-7.033333e+01,426
1.280000e+00,4.119223e+02,-3.066667e+01,-6.666667e+01,4.053333e+02
1.330000e+00,3.915249e+02,-29,-63,3.853333e+02
1.380000e+00,3.624759e+02,-29,-5.566667e+01,357
1.430000e+00,3.415406e+02,-27,-55,336
1.480000e+00,3.228383e+02,-2.466667e+01,-52,3.176667e+02
1.530000e+00,3.094662e+02,-2.266667e+01,-4.933333e+01,3.046667e+02
1.580000e+00,2.868720e+02,-20,-4.466667e+01,2.826667e+02
1.630000e+00,2.762778e+02,-20,-42,2.723333e+02
1.680000e+00,2.567701e+02,-1.866667e+01,-3.966667e+01,253
1.730000e+00,2.460102e+02,-1.733333e+01,-3.866667e+01,2.423333e+02
1.780000e+00,2.291795e+02,-1.566667e+01,-3.466667e+01,226
1.830000e+00,2.193771e+02,-1.466667e+01,-3.333333e+01,2.163333e+02
1.880000e+00,2.059884e+02,-1.366667e+01,-30,2.033333e+02
1.930000e+00,1.946404e+02,-1.266667e+01,-2.933333e+01,192
1.980000e+00,1.861758e+02,-12,-28,1.836667e+02
2.030000e+00,1.772716e+02,-1.033333e+01,-2.633333e+01,175
2.080000e+00,1.672131e+02,-9.666667e+00,-2.533333e+01,165
2.130000e+00,1.589151e+02,-11,-22,157
2.180000e+00,1.525924e+02,-10,-22,1.506667e+02
2.230000e+00,1.434767e+02,-8.666667e+00,-21,1.416667e+02
2.280000e+00,1.367276e+02,-8.333333e+00,-20,135
2.330000e+00,1.301546e+02,-7,-1.833333e+01,1.286667e+02
2.380000e+00,1.253945e+02,-7.666667e+00,-17,124
2.430000e+00,1.183164e+02,-7.333333e+00,-16,117
2.480000e+00,1.146512e+02,-6.666667e+00,-16,1.133333e+02
2.530000e+00,1.078373e+02,-6,-1.466667e+01,1.066667e+02
2.580000e+00,1.041756e+02,-5.333333e+00,-1.466667e+01,103
2.630000e+00,9.865484e+01,-5,-13,9.766667e+01
2.680000e+00,9.469659e+01,-5,-13,9.366667e+01
2.730000e+00,9.003580e+01,-5,-1.266667e+01,89
2.780000e+00,8.763624e+01,-5,-12,8.666667e+01
2.830000e+00,8.287608e+01,-4,-1.133333e+01,82
2.880000e+00,7.986238e+01,-4,-11,79
2.930000e+00,7.611760e+01,-4.333333e+00,-10,7.533333e+01
2.980000e+00,7.346050e+01,-4,-10,7.266667e+01
3.030000e+00,7.039807e+01,-3,-9.666667e+00,6.966667e+01
3.080000e+00,6.705388e+01,-3,-9.333333e+00,6.633333e+01
3.130000e+00,6.432383e+01,-3,-8.666667e+00,6.366667e+01
3.180000e+00,6.326312e+01,-3.333333e+00,-8,6.266667e+01
