X,B,Bx,By,Bz
0,2.722617e+02,-1.033333e+01,-2.719667e+02,7.333333e+00
1.000000e-01,2.786098e+02,-1.066667e+01,-2.783000e+02,7.666667e+00
2.000000e-01,2.849823e+02,-11,-2.846667e+02,7.666667e+00
3.000000e-01,2.914509e+02,-11,-2.911333e+02,8
4.000000e-01,2.978990e+02,-1.133333e+01,-2.975667e+02,8.333333e+00
5.000000e-01,3.044345e+02,-1.133333e+01,-3.041000e+02,8.666667e+00
6.000000e-01,3.109525e+02,-12,-3.106000e+02,8.666667e+00
7.000000e-01,3.175580e+02,-1.233333e+01,-3.172000e+02,8.666667e+00
8.000000e-01,3.240061e+02,-1.266667e+01,-3.236333e+02,9
9.000000e-01,3.304877e+02,-13,-3.301000e+02,9.333333e+00
1,3.369769e+02,-1.266667e+01,-3.366000e+02,9.666667e+00
1.100000e+00,3.433618e+02,-1.333333e+01,-3.429667e+02,9.666667e+00
1.200000e+00,3.496308e+02,-1.333333e+01,-3.492333e+02,10
1.300000e+00,3.559031e+02,-1.366667e+01,-3.555000e+02,10
1.400000e+00,3.622182e+02,-14,-3.618000e+02,1.033333e+01
1.500000e+00,3.682529e+02,-1.433333e+01,-3.678333e+02,1.016667e+01
1.600000e+00,3.741935e+02,-1.433333e+01,-3.737667e+02,1.066667e+01
1.700000e+00,3.800896e+02,-14,-3.797000e+02,10
1.800000e+00,3.858358e+02,-1.466667e+01,-3.854000e+02,11
1.900000e+00,3.914755e+02,-15,-3.910333e+02,11
2,3.969361e+02,-15,-3.965000e+02,11
2.100000e+00,4.022762e+02,-1.533333e+01,-4.018333e+02,11
2.200000e+00,4.074911e+02,-16,-407,12
2.300000e+00,4.123446e+02,-1.566667e+01,-4.119000e+02,11
2.400000e+00,4.171943e+02,-16,-4.167333e+02,1.133333e+01
2.500000e+00,4.216953e+02,-1.566667e+01,-4.212333e+02,12
2.600000e+00,4.262361e+02,-16,-4.257667e+02,12
2.700000e+00,4.302318e+02,-16,-4.297667e+02,12
2.800000e+00,4.343192e+02,-1.666667e+01,-4.338333e+02,12
2.900000e+00,4.380817e+02,-1.666667e+01,-4.376000e+02,12
3,4.414655e+02,-1.633333e+01,-441,12
3.100000e+00,4.448203e+02,-17,-4.443333e+02,12
3.200000e+00,4.477595e+02,-17,-4.472667e+02,1.233333e+01
3.300000e+00,4.505565e+02,-17,-4.500667e+02,1.233333e+01
3.400000e+00,4.530205e+02,-17,-4.525333e+02,1.233333e+01
3.500000e+00,4.552815e+02,-1.666667e+01,-4.548000e+02,1.266667e+01
3.600000e+00,4.572344e+02,-17,-4.567333e+02,13
3.700000e+00,4.588567e+02,-17,-4.583667e+02,1.266667e+01
3.800000e+00,4.602103e+02,-1.733333e+01,-4.597000e+02,13
3.900000e+00,4.613279e+02,-1.766667e+01,-4.608333e+02,12
4,4.621337e+02,-18,-4.616000e+02,13
4.100000e+00,4.625953e+02,-17,-4.621000e+02,13
4.200000e+00,4.629199e+02,-1.766667e+01,-4.624000e+02,13
4.300000e+00,4.627618e+02,-17,-4.622667e+02,13
4.400000e+00,4.624985e+02,-1.733333e+01,-462,1.266667e+01
4.500000e+00,4.618085e+02,-1.733333e+01,-4.613000e+02,13
4.600000e+00,4.608638e+02,-17,-4.603667e+02,13
4.700000e+00,4.596651e+02,-17,-4.591667e+02,13
4.800000e+00,4.581335e+02,-17,-4.576333e+02,13
4.900000e+00,4.563021e+02,-17,-4.558000e+02,13
5,4.542045e+02,-17,-4.537000e+02,13
5.100000e+00,4.518643e+02,-17,-4.513667e+02,1.266667e+01
5.200000e+00,4.493212e+02,-1.666667e+01,-4.488333e+02,1.266667e+01
5.300000e+00,4.464028e+02,-1.633333e+01,-4.459333e+02,1.233333e+01
5.400000e+00,4.433726e+02,-1.633333e+01,-4.429000e+02,1.233333e+01
5.500000e+00,4.398764e+02,-1.633333e+01,-4.394000e+02,1.233333e+01
5.600000e+00,4.362920e+02,-16,-4.358333e+02,12
5.700000e+00,4.324695e+02,-1.566667e+01,-432,1.266667e+01
5.800000e+00,4.283428e+02,-1.533333e+01,-4.279000e+02,12
5.900000e+00,4.240903e+02,-1.466667e+01,-4.236667e+02,12
6,4.195400e+02,-15,-4.191000e+02,12
6.100000e+00,4.148928e+02,-15,-4.144667e+02,1.133333e+01
6.200000e+00,4.099597e+02,-1.433333e+01,-4.095333e+02,12
6.300000e+00,4.048770e+02,-14,-4.044667e+02,1.166667e+01
6.400000e+00,3.997255e+02,-14,-3.993000e+02,12
6.500000e+00,3.942458e+02,-1.333333e+01,-3.938667e+02,11
6.600000e+00,3.887413e+02,-14,-3.883333e+02,11
6.700000e+00,3.829694e+02,-13,-3.826000e+02,1.066667e+01
6.800000e+00,3.771637e+02,-1.266667e+01,-3.768000e+02,1.066667e+01
6.900000e+00,3.712292e+02,-13,-3.708667e+02,10
7,3.652900e+02,-1.266667e+01,-3.649333e+02,10
7.100000e+00,3.590180e+02,-1.233333e+01,-3.586667e+02,10
7.200000e+00,3.528988e+02,-12,-3.525333e+02,1.066667e+01
7.300000e+00,3.464856e+02,-12,-3.461333e+02,10
7.400000e+00,3.401027e+02,-1.133333e+01,-3.397667e+02,10
7.500000e+00,3.337140e+02,-1.133333e+01,-3.334000e+02,9
7.600000e+00,3.271849e+02,-11,-3.268667e+02,9.333333e+00
7.700000e+00,3.206152e+02,-11,-3.203000e+02,9
7.800000e+00,3.141882e+02,-10,-3.139000e+02,9
7.900000e+00,3.076277e+02,-10,-3.073333e+02,9
8,3.011007e+02,-10,-3.008000e+02,9
