Z,B,Bx,By,Bz
1.800000e-01,2.078801e+03,-5.560000e+01,-9.244000e+01,2076
2.300000e-01,1.992972e+03,-5.220000e+01,-9.120000e+01,1.990200e+03
2.800000e-01,1.905231e+03,-5.120000e+01,-86,1.902600e+03
3.300000e-01,1.818408e+03,-4.640000e+01,-8.972000e+01,1.815600e+03
3.800000e-01,1.731768e+03,-42,-8.840000e+01,1729
4.300000e-01,1.645995e+03,-3.760000e+01,-8.440000e+01,1.643400e+03
4.800000e-01,1.562300e+03,-3.480000e+01,-8.120000e+01,1.559800e+03
5.300000e-01,1.480292e+03,-3.680000e+01,-7.366000e+01,1478
5.800000e-01,1.400462e+03,-34,-7.572000e+01,1398
6.300000e-01,1.325209e+03,-2.960000e+01,-7.418000e+01,1.322800e+03
6.800000e-01,1.252355e+03,-2.540000e+01,-6.890000e+01,1.250200e+03
7.300000e-01,1.182423e+03,-2.320000e+01,-6.512000e+01,1.180400e+03
7.800000e-01,1.115767e+03,-2.660000e+01,-5.686000e+01,1114
8.300000e-01,1.052060e+03,-2.360000e+01,-5.790000e+01,1.050200e+03
8.800000e-01,9.920848e+02,-20,-5.776000e+01,9.902000e+02
9.300000e-01,9.362743e+02,-1.720000e+01,-5.326000e+01,9.346000e+02
9.800000e-01,8.831510e+02,-1.540000e+01,-50,8.816000e+02
1.030000e+00,8.325626e+02,-18,-4.408000e+01,8.312000e+02
1.080000e+00,7.850222e+02,-1.660000e+01,-4.422000e+01,7.836000e+02
1.130000e+00,7.412073e+02,-1.360000e+01,-4.358000e+01,7.398000e+02
1.180000e+00,6.992402e+02,-1.180000e+01,-3.992000e+01,698
